epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
134,928.571,0.89363,0.65505,0.00826,0.74464,0.74495,0.75887,0.54671,1.16658,1.04986,0.01737,0.000569531,0.000569531,0.000569531
135,935.201,0.95576,0.69599,0.00906,0.79923,0.71871,0.77215,0.54574,1.17715,1.07136,0.01644,0.000561279,0.000561279,0.000561279
136,942.169,0.92332,0.66317,0.00835,0.78982,0.70508,0.76984,0.54639,1.20307,1.08401,0.01677,0.000553027,0.000553027,0.000553027
137,949.059,0.95017,0.70598,0.00885,0.7592,0.72695,0.77544,0.55711,1.18744,1.04603,0.01705,0.000544776,0.000544776,0.000544776
138,956.074,0.89714,0.65503,0.00846,0.83667,0.67125,0.76482,0.54182,1.18961,1.0531,0.01673,0.000536524,0.000536524,0.000536524
139,962.793,0.86638,0.60974,0.00823,0.7792,0.68516,0.75188,0.53521,1.16844,1.09435,0.01586,0.000528272,0.000528272,0.000528272
140,969.381,0.88514,0.63618,0.00817,0.76327,0.7118,0.76993,0.54303,1.19769,1.06249,0.01722,0.000520021,0.000520021,0.000520021
141,976.009,0.88335,0.63419,0.0084,0.79493,0.69192,0.77071,0.5416,1.18623,1.05452,0.0167,0.000511769,0.000511769,0.000511769
142,983.341,0.89467,0.64342,0.00828,0.77761,0.68872,0.7663,0.54666,1.16085,1.08373,0.01669,0.000503517,0.000503517,0.000503517
143,989.937,0.90976,0.6599,0.00851,0.73324,0.71228,0.75105,0.53598,1.18183,1.1113,0.01701,0.000495266,0.000495266,0.000495266
144,996.48,0.86728,0.60823,0.00807,0.78513,0.68425,0.74585,0.53875,1.17159,1.14562,0.01728,0.000487014,0.000487014,0.000487014
145,1003.24,0.88938,0.62883,0.00829,0.80066,0.67172,0.74673,0.53014,1.19487,1.13998,0.01736,0.000478762,0.000478762,0.000478762
146,1009.84,0.92503,0.67724,0.00875,0.77213,0.71306,0.75866,0.54177,1.15387,1.18529,0.01619,0.000470511,0.000470511,0.000470511
147,1016.47,0.88571,0.63065,0.00823,0.78357,0.69226,0.76811,0.54975,1.14287,1.1171,0.0164,0.000462259,0.000462259,0.000462259
148,1023.04,0.90583,0.64888,0.00839,0.76284,0.73915,0.77747,0.56255,1.14296,1.03046,0.0159,0.000454007,0.000454007,0.000454007
149,1030.13,0.86493,0.60461,0.00777,0.79179,0.70948,0.77265,0.56405,1.12158,1.04883,0.01541,0.000445756,0.000445756,0.000445756
150,1037.1,0.8977,0.63798,0.00833,0.73458,0.74078,0.77142,0.55711,1.14555,1.06923,0.01549,0.000437504,0.000437504,0.000437504
151,1043.67,0.87676,0.60514,0.00841,0.7946,0.71366,0.77497,0.55086,1.15203,1.07147,0.01598,0.000429253,0.000429253,0.000429253
152,1050.23,0.88256,0.62366,0.00784,0.79011,0.69857,0.76815,0.5471,1.14862,1.0594,0.01629,0.000421001,0.000421001,0.000421001
153,1056.76,0.86619,0.60354,0.0081,0.74792,0.73232,0.77157,0.54647,1.16082,1.0673,0.01661,0.000412749,0.000412749,0.000412749
154,1063.35,0.86403,0.60286,0.00786,0.75099,0.73819,0.77034,0.55674,1.13443,1.04639,0.016,0.000404498,0.000404498,0.000404498
155,1069.97,0.89501,0.63033,0.00813,0.78995,0.68687,0.77298,0.557,1.15442,1.05402,0.01626,0.000396246,0.000396246,0.000396246
156,1076.69,0.88945,0.63518,0.00827,0.76709,0.70023,0.76941,0.55233,1.15682,1.07656,0.01571,0.000387994,0.000387994,0.000387994
157,1083.36,0.85298,0.58069,0.00757,0.76469,0.71803,0.76281,0.55156,1.14775,1.08396,0.01633,0.000379743,0.000379743,0.000379743
158,1090.27,0.90064,0.64813,0.00878,0.81364,0.68687,0.76186,0.55124,1.13952,1.07806,0.01579,0.000371491,0.000371491,0.000371491
159,1097.49,0.86913,0.64045,0.00837,0.80146,0.67172,0.75481,0.5427,1.14668,1.0763,0.01639,0.000363239,0.000363239,0.000363239
160,1104.96,0.83701,0.58185,0.00784,0.81646,0.65027,0.75953,0.54531,1.13526,1.08834,0.01566,0.000354988,0.000354988,0.000354988
161,1111.6,0.87342,0.61714,0.00815,0.74989,0.70455,0.75458,0.54585,1.15203,1.06775,0.01612,0.000346736,0.000346736,0.000346736
162,1118.17,0.87549,0.61016,0.00786,0.79241,0.70131,0.7619,0.54837,1.13588,1.06046,0.01548,0.000338484,0.000338484,0.000338484
163,1124.82,0.89366,0.63461,0.00859,0.79799,0.676,0.75752,0.54607,1.15346,1.05221,0.01559,0.000330233,0.000330233,0.000330233
